time	Control	Speed_rpm	
1738.24	1000	2510	
1738.25	1000	2510	
1738.26	1000	2510	
1738.27	1000	2486	
1738.28	1000	2486	
1738.29	1000	2486	
1738.3	1000	2486	
1738.31	1000	2467	
1738.32	1000	2467	
1738.33	1000	2467	
1738.3400000000001	1000	2467	
1738.3500000000001	1000	2467	
1738.3600000000001	1000	2467	
1738.3700000000001	1000	2430	
1738.38	1000	2430	
1738.39	1000	2430	
1738.4	1000	2430	
1738.41	1000	2430	
1738.42	1000	2391	
1738.43	1000	2391	
1738.44	1000	2391	
1738.45	1000	2391	
1738.46	1000	2356	
1738.47	1000	2356	
1738.48	1000	2356	
1738.49	1000	2356	
1738.5	1000	2356	
1738.51	1000	2314	
1738.52	1000	2314	
1738.53	1000	2314	
1738.54	1000	2314	
1738.55	1000	2314	
1738.56	1000	2314	
1738.57	1000	2270	
1738.58	1000	2270	
1738.5900000000001	1000	2270	
1738.6000000000001	1000	2270	
1738.6100000000001	1000	2270	
1738.6200000000001	1000	2232	
1738.63	1000	2232	
1738.64	1000	2232	
1738.65	1000	2232	
1738.66	1000	2232	
1738.67	1000	2202	
1738.68	1000	2202	
1738.69	1000	2202	
1738.7	1000	2202	
1738.71	1000	2202	
1738.72	1000	2162	
1738.73	1000	2162	
1738.74	1000	2162	
1738.75	1000	2162	
1738.76	1000	2162	
1738.77	1000	2103	
1738.78	1000	2103	
1738.79	1000	2103	
1738.8	1000	2103	
1738.81	1000	2063	
1738.82	1000	2063	
1738.83	1000	2063	
1738.8400000000001	1000	2063	
1738.8500000000001	1000	2063	
1738.8600000000001	1000	2015	
1738.8700000000001	1000	2015	
1738.88	1000	2015	
1738.89	1000	2015	
1738.9	1000	2015	
1738.91	1000	2015	
1738.92	1000	1991	
1738.93	1000	1991	
1738.94	1000	1991	
1738.95	1000	1991	
1738.96	1000	1921	
1738.97	1000	1921	
1738.98	1000	1921	
1738.99	1000	1921	
1739	1000	1921	
1739.01	1000	1898	
1739.02	1000	1898	
1739.03	1000	1898	
1739.04	1000	1898	
1739.05	1000	1898	
1739.06	1000	1898	
1739.07	1000	1850	
1739.08	1000	1850	
1739.0900000000001	1000	1850	
1739.1000000000001	1000	1850	
1739.1100000000001	1000	1785	
1739.1200000000001	1000	1785	
1739.13	1000	1785	
1739.14	1000	1785	
1739.15	1000	1785	
1739.16	1000	1740	
1739.17	1000	1740	
1739.18	1000	1740	
1739.19	1000	1740	
1739.2	1000	1740	
1739.21	1000	1740	
1739.22	1000	1686	
1739.23	1000	1686	
1739.24	1000	1686	
1739.25	1000	1686	
1739.26	1000	1637	
1739.27	1000	1637	
1739.28	1000	1637	
1739.29	1000	1637	
1739.3	1000	1637	
1739.31	1000	1637	
1739.32	1000	1590	
1739.33	1000	1590	
1739.3400000000001	1000	1590	
1739.3500000000001	1000	1590	
1739.3600000000001	1000	1536	
1739.3700000000001	1000	1536	
1739.38	1000	1536	
1739.39	1000	1536	
1739.4	1000	1536	
1739.41	1000	1536	
1739.42	1000	1485	
1739.43	1000	1485	
1739.44	1000	1485	
1739.45	1000	1485	
1739.46	1000	1443	
1739.47	1000	1443	
1739.48	1000	1443	
1739.49	1000	1443	
1739.5	1000	1443	
1739.51	1000	1443	
1739.52	1000	1418	
1739.53	1000	1418	
1739.54	1000	1418	
1739.55	1000	1418	
1739.56	1000	1370	
1739.57	1000	1370	
1739.58	1000	1370	
1739.5900000000001	1000	1370	
1739.6000000000001	1000	1370	
1739.6100000000001	1000	1337	
1739.6200000000001	1000	1337	
1739.63	1000	1337	
1739.64	1000	1337	
1739.65	1000	1337	
1739.66	1000	1296	
1739.67	1000	1296	
1739.68	1000	1296	
1739.69	1000	1296	
1739.7	1000	1296	
1739.71	1000	1273	
1739.72	1000	1273	
1739.73	1000	1273	
1739.74	1000	1273	
1739.75	1000	1273	
1739.76	1000	1244	
1739.77	1000	1244	
1739.78	1000	1244	
1739.79	1000	1244	
1739.8	1000	1244	
1739.81	1000	1229	
1739.82	1000	1229	
1739.83	1000	1229	
1739.8400000000001	1000	1229	
1739.8500000000001	1000	1229	
1739.8600000000001	1000	1205	
1739.8700000000001	1000	1205	
1739.88	1000	1205	
1739.89	1000	1205	
1739.9	1000	1205	
1739.91	1000	1205	
1739.92	1000	1187	
1739.93	1000	1187	
1739.94	1000	1187	
1739.95	1000	1187	
1739.96	1000	1187	
1739.97	1000	1155	
1739.98	1000	1155	
1739.99	1000	1155	
